portal_event_id,portal_session_id,client_id,portal_user_id,portal_user_role,client_contact_email_domain,event_datetime,channel,request_reference,event_type,case_priority,first_response_hours,sla_breach_flag,case_status,effective_at,updated_at
CRM-0000001,PORTAL-SESSION-0000001,CLI-0018,PORTAL-USER-00048,Driver Coordinator,professional-services-client-18.example.com,2025-02-02T00:00:00,Client Portal,REQ-0000001,Quote Request,Medium,33.2,Y,Resolved,2026-05-24T14:59:00,2026-05-25T08:01:00
CRM-0000002,PORTAL-SESSION-0000002,CLI-0005,PORTAL-USER-00024,Driver Coordinator,healthcare-client-05.example.com,2025-02-03T09:00:00,Phone,REQ-0000002,Renewal Discussion,High,4.4,N,Escalated,2026-05-24T14:58:00,2026-05-25T08:02:00
CRM-0000003,PORTAL-SESSION-0000003,CLI-0004,PORTAL-USER-00051,Fleet Manager,utilities-client-04.example.com,2026-01-29T06:00:00,Phone,REQ-0000003,Vehicle Order,Medium,7.2,N,Open,2026-05-24T14:57:00,2026-05-25T08:03:00
CRM-0000004,PORTAL-SESSION-0000004,CLI-0012,PORTAL-USER-00020,Executive Viewer,government-client-12.example.com,2025-06-29T22:00:00,CRM Case,REQ-0000004,Renewal Discussion,Medium,21.7,N,Open,2026-05-24T14:56:00,2026-05-25T08:04:00
CRM-0000005,PORTAL-SESSION-0000005,CLI-0008,PORTAL-USER-00048,Driver Coordinator,government-client-08.example.com,2025-06-26T04:00:00,CRM Case,REQ-0000005,Vehicle Order,High,6.2,Y,Resolved,2026-05-24T14:55:00,2026-05-25T08:05:00
CRM-0000006,PORTAL-SESSION-0000006,CLI-0007,PORTAL-USER-00078,Finance User,utilities-client-07.example.com,2026-04-03T16:00:00,Client Portal,REQ-0000006,Invoice Query,Critical,30.7,N,Escalated,2026-05-24T14:54:00,2026-05-25T08:06:00
CRM-0000007,PORTAL-SESSION-0000007,CLI-0005,PORTAL-USER-00055,Fleet Manager,healthcare-client-05.example.com,2025-04-27T13:00:00,Email,REQ-0000007,Quote Request,Low,14.4,N,Open,2026-05-24T14:53:00,2026-05-25T08:07:00
CRM-0000008,PORTAL-SESSION-0000008,CLI-0017,PORTAL-USER-00078,Executive Viewer,construction-client-17.example.com,2025-04-06T12:00:00,Client Portal,REQ-0000008,Report Download,High,29.9,N,Open,2026-05-24T14:52:00,2026-05-25T08:08:00
CRM-0000009,PORTAL-SESSION-0000009,CLI-0004,PORTAL-USER-00016,Finance User,utilities-client-04.example.com,2025-01-08T15:00:00,Phone,REQ-0000009,Quote Request,Critical,23.2,N,Resolved,2026-05-25T14:59:00,2026-05-26T08:01:00
CRM-0000010,PORTAL-SESSION-0000010,CLI-0003,PORTAL-USER-00086,Executive Viewer,healthcare-client-03.example.com,2026-05-09T15:00:00,Email,REQ-0000010,Report Download,Critical,28.1,Y,Resolved,2026-05-25T14:58:00,2026-05-26T08:02:00
CRM-0000011,PORTAL-SESSION-0000011,CLI-0015,PORTAL-USER-00017,Finance User,healthcare-client-15.example.com,2026-01-21T08:00:00,CRM Case,REQ-0000011,Vehicle Order,High,5.2,N,Pending Client,2026-05-25T14:57:00,2026-05-26T08:03:00
CRM-0000012,PORTAL-SESSION-0000012,CLI-0004,PORTAL-USER-00038,Driver Coordinator,utilities-client-04.example.com,2026-01-22T19:00:00,CRM Case,REQ-0000012,Invoice Query,High,25.9,N,Resolved,2026-05-25T14:56:00,2026-05-26T08:04:00
CRM-0000013,PORTAL-SESSION-0000013,CLI-0012,PORTAL-USER-00049,Finance User,government-client-12.example.com,2025-07-27T01:00:00,Email,REQ-0000013,Vehicle Order,Critical,23.7,Y,Resolved,2026-05-25T14:55:00,2026-05-26T08:05:00
CRM-0000014,PORTAL-SESSION-0000014,CLI-0016,PORTAL-USER-00009,Fleet Manager,government-client-16.example.com,2026-03-19T07:00:00,Client Portal,REQ-0000014,Invoice Query,Low,24.6,Y,Escalated,2026-05-25T14:54:00,2026-05-26T08:06:00
CRM-0000015,PORTAL-SESSION-0000015,CLI-0008,PORTAL-USER-00086,Driver Coordinator,government-client-08.example.com,2025-01-04T15:00:00,CRM Case,REQ-0000015,Report Download,Critical,27.8,N,Resolved,2026-05-25T14:53:00,2026-05-26T08:07:00
