client_id,abn,client_name,industry_segment,email_domain,address_line_1,suburb,state,postcode,country,headquarters_state,fleet_size_band,contract_start_date,client_status,effective_at,updated_at
CLI-0001,51100000001,Synthetic Professional Services Client 01,Professional Services,professional-services-client-01.example.com,"Level 2, 101 George Street",Melbourne,VIC,3000,Australia,VIC,1000+,2021-02-21,Renewal Due,2026-05-24T14:59:00,2026-05-25T08:01:00
CLI-0002,52100000002,Synthetic Utilities Client 02,Utilities,utilities-client-02.example.com,"Level 3, 102 Collins Street",Brisbane,QLD,4000,Australia,QLD,100-249,2021-07-29,Active,2026-05-24T14:58:00,2026-05-25T08:02:00
CLI-0003,53100000003,Synthetic Healthcare Client 03,Healthcare,healthcare-client-03.example.com,"Level 4, 103 Queen Street",Sydney,NSW,2000,Australia,NSW,100-249,2021-03-03,Renewal Due,2026-05-24T14:57:00,2026-05-25T08:03:00
CLI-0004,54100000004,Synthetic Utilities Client 04,Utilities,utilities-client-04.example.com,"Level 5, 104 Pitt Street",Sydney,NSW,2000,Australia,NSW,250-999,2024-02-24,Active,2026-05-24T14:56:00,2026-05-25T08:04:00
CLI-0005,55100000005,Synthetic Healthcare Client 05,Healthcare,healthcare-client-05.example.com,"Level 6, 105 Flinders Street",Perth,WA,6000,Australia,WA,1000+,2023-07-09,Renewal Due,2026-05-24T14:55:00,2026-05-25T08:05:00
CLI-0006,56100000006,Synthetic Utilities Client 06,Utilities,utilities-client-06.example.com,"Level 7, 106 Adelaide Street",Canberra,ACT,2600,Australia,ACT,1000+,2022-11-28,Renewal Due,2026-05-24T14:54:00,2026-05-25T08:06:00
CLI-0007,57100000007,Synthetic Utilities Client 07,Utilities,utilities-client-07.example.com,"Level 8, 107 Wellington Street",Hobart,TAS,7000,Australia,TAS,100-249,2021-07-29,Onboarding,2026-05-24T14:53:00,2026-05-25T08:07:00
CLI-0008,58100000008,Synthetic Government Client 08,Government,government-client-08.example.com,"Level 9, 108 King Street",Hobart,TAS,7000,Australia,TAS,1000+,2022-12-06,Renewal Due,2026-05-24T14:52:00,2026-05-25T08:08:00
CLI-0009,59100000009,Synthetic Professional Services Client 09,Professional Services,professional-services-client-09.example.com,"Level 10, 109 George Street",Darwin,NT,0800,Australia,NT,25-99,2024-01-04,Renewal Due,2024-01-04T00:00:00,2024-02-12T00:00:00
CLI-0010,60100000010,Synthetic Government Client 10,Government,government-client-10.example.com,"Level 11, 110 Collins Street",Adelaide,SA,5000,Australia,SA,100-249,2023-01-11,Active,2023-01-11T00:00:00,2023-02-20T00:00:00
CLI-0011,61100000011,Synthetic Government Client 11,Government,government-client-11.example.com,"Level 12, 111 Queen Street",Perth,WA,6000,Australia,WA,25-99,2022-08-16,Active,2022-08-16T00:00:00,2022-09-26T00:00:00
CLI-0012,62100000012,Synthetic Government Client 12,Government,government-client-12.example.com,"Level 13, 112 Pitt Street",Canberra,ACT,2600,Australia,ACT,1000+,2022-07-24,Active,2022-07-24T00:00:00,2022-09-04T00:00:00
CLI-0013,63100000013,Synthetic Utilities Client 13,Utilities,utilities-client-13.example.com,"Level 14, 113 Flinders Street",Hobart,TAS,7000,Australia,TAS,100-249,2022-12-29,Active,2022-12-29T00:00:00,2023-02-10T00:00:00
CLI-0014,64100000014,Synthetic Professional Services Client 14,Professional Services,professional-services-client-14.example.com,"Level 15, 114 Adelaide Street",Melbourne,VIC,3000,Australia,VIC,100-249,2021-12-17,Active,2021-12-17T00:00:00,2022-01-30T00:00:00
CLI-0015,65100000015,Synthetic Healthcare Client 15,Healthcare,healthcare-client-15.example.com,"Level 16, 115 Wellington Street",Canberra,ACT,2600,Australia,ACT,100-249,2022-07-07,Active,2022-07-07T00:00:00,2022-08-21T00:00:00
CLI-0016,66100000016,Synthetic Government Client 16,Government,government-client-16.example.com,"Level 17, 116 King Street",Perth,WA,6000,Australia,WA,250-999,2021-03-07,Renewal Due,2021-03-07T00:00:00,2021-04-22T00:00:00
CLI-0017,67100000017,Synthetic Construction Client 17,Construction,construction-client-17.example.com,"Level 18, 117 George Street",Melbourne,VIC,3000,Australia,VIC,250-999,2022-03-09,Active,2022-03-09T00:00:00,2022-04-25T00:00:00
CLI-0018,68100000018,Synthetic Professional Services Client 18,Professional Services,professional-services-client-18.example.com,"Level 1, 118 Collins Street",Darwin,NT,0800,Australia,NT,1000+,2023-03-22,Active,2023-03-22T00:00:00,2023-05-09T00:00:00
