vehicle_id,client_id,vin,registration_plate,asset_type,make,model,model_year,fuel_type,state_registered,odometer_km,in_service_date,lease_end_date,vehicle_status,telematics_device_id,telematics_device_model,telematics_install_date,effective_at,updated_at
VEH-00001,CLI-0009,6SYNTH00000000001,SYN001B,Light Commercial,Ford,Ranger,2025,Diesel,ACT,159090,2025-02-23,2030-01-28,Off Road,TELDEV-000001,OEM-CONNECT,2025-02-26,2026-05-24T14:59:00,2026-05-25T08:01:00
VEH-00002,CLI-0005,6SYNTH00000000002,SYN002C,Passenger,Mazda,CX-5,2021,BEV,QLD,116788,2022-07-06,2025-06-20,In Service,TELDEV-000002,SYN-T100,2022-07-12,2026-05-24T14:58:00,2026-05-25T08:02:00
VEH-00003,CLI-0013,6SYNTH00000000003,SYN003D,Light Commercial,BYD,Atto 3,2024,BEV,NSW,36152,2024-08-16,2029-07-21,In Service,TELDEV-000003,OEM-CONNECT,2024-08-28,2026-05-24T14:57:00,2026-05-25T08:03:00
VEH-00004,CLI-0011,6SYNTH00000000004,SYN004E,Ute,Toyota,Corolla,2020,Hybrid,SA,137349,2024-06-09,2027-05-25,Pending Disposal,TELDEV-000004,SYN-T100,2024-06-22,2026-05-24T14:56:00,2026-05-25T08:04:00
VEH-00005,CLI-0010,6SYNTH00000000005,SYN005F,Light Commercial,Mazda,CX-5,2026,PHEV,QLD,147519,2023-02-12,2026-01-27,In Service,TELDEV-000005,SYN-T100,2023-02-21,2026-05-24T14:55:00,2026-05-25T08:05:00
VEH-00006,CLI-0011,6SYNTH00000000006,SYN006G,Light Commercial,Isuzu,D-MAX,2021,Petrol,NSW,69269,2022-08-18,2026-07-28,In Service,TELDEV-000006,SYN-T100,2022-08-19,2026-05-24T14:54:00,2026-05-25T08:06:00
VEH-00007,CLI-0016,6SYNTH00000000007,SYN007H,Truck,Toyota,Corolla,2023,PHEV,QLD,75610,2022-09-15,2025-08-30,In Service,TELDEV-000007,SYN-SAFETY,2022-09-18,2026-05-24T14:53:00,2026-05-25T08:07:00
VEH-00008,CLI-0018,6SYNTH00000000008,SYN008I,Truck,Hyundai,i30,2022,Hybrid,NT,141807,2024-03-28,2029-03-02,Off Road,TELDEV-000008,SYN-T100,2024-03-31,2026-05-24T14:52:00,2026-05-25T08:08:00
VEH-00009,CLI-0008,6SYNTH00000000009,SYN009J,Van,Toyota,Corolla,2021,Hybrid,WA,8091,2022-02-13,2027-01-18,Pending Disposal,TELDEV-000009,SYN-T100,2022-02-16,2026-05-25T14:59:00,2026-05-26T08:01:00
VEH-00010,CLI-0003,6SYNTH00000000010,SYN010K,SUV,Toyota,HiLux,2022,Hybrid,NT,62367,2022-05-26,2027-04-30,In Service,TELDEV-000010,SYN-T200,2022-06-06,2026-05-25T14:58:00,2026-05-26T08:02:00
VEH-00011,CLI-0016,6SYNTH00000000011,SYN011L,Passenger,Hyundai,i30,2020,BEV,ACT,99084,2024-04-13,2027-03-29,Off Road,TELDEV-000011,SYN-SAFETY,2024-04-20,2026-05-25T14:57:00,2026-05-26T08:03:00
VEH-00012,CLI-0002,6SYNTH00000000012,SYN012M,Light Commercial,Toyota,Corolla,2026,Petrol,VIC,71392,2024-04-04,2029-03-09,Pending Disposal,TELDEV-000012,SYN-T200,2024-04-12,2026-05-25T14:56:00,2026-05-26T08:04:00
VEH-00013,CLI-0015,6SYNTH00000000013,SYN013N,Ute,Ford,Ranger,2021,BEV,VIC,122374,2023-01-11,2026-12-21,In Service,TELDEV-000013,SYN-T100,2023-01-11,2026-05-25T14:55:00,2026-05-26T08:05:00
VEH-00014,CLI-0018,6SYNTH00000000014,SYN014O,Ute,Toyota,HiLux,2023,Petrol,NT,62243,2023-04-30,2026-04-14,Off Road,TELDEV-000014,SYN-T100,2023-05-02,2026-05-25T14:54:00,2026-05-26T08:06:00
VEH-00015,CLI-0013,6SYNTH00000000015,SYN015P,Light Commercial,Toyota,HiLux,2023,BEV,NT,46791,2023-06-28,2027-06-07,Pending Disposal,TELDEV-000015,OEM-CONNECT,2023-07-01,2026-05-25T14:53:00,2026-05-26T08:07:00
VEH-00016,CLI-0002,6SYNTH00000000016,SYN016Q,Truck,BYD,Atto 3,2022,BEV,NSW,19357,2025-01-15,2027-12-31,In Service,TELDEV-000016,SYN-SAFETY,2025-01-23,2026-05-25T14:52:00,2026-05-26T08:08:00
VEH-00017,CLI-0017,6SYNTH00000000017,SYN017R,SUV,Ford,Ranger,2020,Petrol,VIC,67948,2024-11-06,2027-10-22,Off Road,TELDEV-000017,SYN-T100,2024-11-20,2026-05-26T14:59:00,2026-05-27T08:01:00
VEH-00018,CLI-0008,6SYNTH00000000018,SYN018S,Passenger,BYD,Atto 3,2023,BEV,TAS,74650,2022-03-23,2027-02-25,Pending Disposal,TELDEV-000018,OEM-CONNECT,2022-03-26,2026-05-26T14:58:00,2026-05-27T08:02:00
VEH-00019,CLI-0009,6SYNTH00000000019,SYN019T,Light Commercial,Mitsubishi,Triton,2026,Diesel,VIC,8734,2023-09-07,2027-08-17,Off Road,TELDEV-000019,SYN-T100,2023-09-08,2026-05-26T14:57:00,2026-05-27T08:03:00
VEH-00020,CLI-0018,6SYNTH00000000020,SYN020U,Light Commercial,Hyundai,i30,2020,PHEV,WA,103163,2023-06-28,2026-06-12,Pending Disposal,TELDEV-000020,SYN-T200,2023-07-05,2026-05-26T14:56:00,2026-05-27T08:04:00
VEH-00021,CLI-0018,6SYNTH00000000021,SYN021V,Truck,Kia,Sportage,2026,PHEV,SA,33449,2024-12-19,2027-12-04,Pending Disposal,TELDEV-000021,OEM-CONNECT,2024-12-20,2026-05-26T14:55:00,2026-05-27T08:05:00
VEH-00022,CLI-0004,6SYNTH00000000022,SYN022W,Van,Mazda,CX-5,2021,Diesel,TAS,59667,2023-07-12,2027-06-21,Pending Disposal,TELDEV-000022,SYN-SAFETY,2023-07-16,2026-05-26T14:54:00,2026-05-27T08:06:00
VEH-00023,CLI-0002,6SYNTH00000000023,SYN023X,Passenger,Toyota,Corolla,2022,BEV,QLD,74967,2023-07-21,2026-07-05,Pending Disposal,TELDEV-000023,SYN-SAFETY,2023-07-29,2026-05-26T14:53:00,2026-05-27T08:07:00
VEH-00024,CLI-0014,6SYNTH00000000024,SYN024Y,Truck,Mazda,CX-5,2021,Petrol,NSW,103085,2022-08-18,2025-08-02,In Service,TELDEV-000024,SYN-T200,2022-08-24,2026-05-26T14:52:00,2026-05-27T08:08:00
VEH-00025,CLI-0005,6SYNTH00000000025,SYN025Z,Light Commercial,Toyota,HiLux,2021,Hybrid,WA,32946,2024-01-17,2027-01-01,In Service,TELDEV-000025,SYN-SAFETY,2024-01-26,2024-01-17T00:00:00,2024-03-27T00:00:00
VEH-00026,CLI-0005,6SYNTH00000000026,SYN026A,Passenger,Hyundai,i30,2021,Diesel,TAS,113928,2022-12-29,2026-12-08,In Service,TELDEV-000026,OEM-CONNECT,2022-12-31,2022-12-29T00:00:00,2023-03-10T00:00:00
VEH-00027,CLI-0004,6SYNTH00000000027,SYN027B,SUV,Mitsubishi,Triton,2026,Petrol,NT,97660,2024-08-21,2027-08-06,In Service,TELDEV-000027,SYN-T200,2024-08-24,2024-08-21T00:00:00,2024-11-01T00:00:00
VEH-00028,CLI-0001,6SYNTH00000000028,SYN028C,Passenger,Hyundai,i30,2026,BEV,SA,98050,2023-11-04,2027-10-14,Off Road,TELDEV-000028,SYN-SAFETY,2023-11-14,2023-11-04T00:00:00,2024-01-16T00:00:00
VEH-00029,CLI-0018,6SYNTH00000000029,SYN029D,Light Commercial,Tesla,Model Y,2021,BEV,SA,16028,2022-02-26,2025-02-10,In Service,TELDEV-000029,SYN-SAFETY,2022-03-03,2022-02-26T00:00:00,2022-05-11T00:00:00
