invoice_id,invoice_number,client_id,invoice_date,invoice_due_date,billing_period,billing_contact_email_domain,purchase_order_number,lease_charges_amount,maintenance_rebill_amount,fuel_rebill_amount,management_fees_amount,invoice_status,payment_terms_days,payment_method,effective_at,updated_at
INV-0000001,EFSA-202601-000001,CLI-0009,2026-01-18,2026-02-17,2026-01,professional-services-client-09.example.com,PO-SYN-000001,92543.23,12253.49,5104.42,1553.18,Paid,30,Direct Debit,2026-05-24T14:59:00,2026-05-25T08:01:00
INV-0000002,EFSA-202511-000002,CLI-0005,2025-11-13,2025-12-13,2025-11,healthcare-client-05.example.com,PO-SYN-000002,11301.53,2071.95,1755.46,532.25,Disputed,30,EFT,2026-05-24T14:58:00,2026-05-25T08:02:00
INV-0000003,EFSA-202501-000003,CLI-0013,2025-01-28,2025-02-27,2025-01,utilities-client-13.example.com,PO-SYN-000003,53542.42,3016.07,4536.18,859.17,Disputed,30,EFT,2026-05-24T14:57:00,2026-05-25T08:03:00
INV-0000004,EFSA-202512-000004,CLI-0015,2025-12-18,2026-01-17,2025-12,healthcare-client-15.example.com,PO-SYN-000004,22786.3,2474.13,3006.04,475.4,Issued,30,EFT,2026-05-24T14:56:00,2026-05-25T08:04:00
INV-0000005,EFSA-202504-000005,CLI-0011,2025-04-04,2025-05-04,2025-04,government-client-11.example.com,PO-SYN-000005,18874.04,2554.22,2007.61,768.94,Disputed,30,EFT,2026-05-24T14:55:00,2026-05-25T08:05:00
INV-0000006,EFSA-202602-000006,CLI-0014,2026-02-14,2026-03-16,2026-02,professional-services-client-14.example.com,PO-SYN-000006,33079.83,6310.76,754.61,832.29,Issued,30,EFT,2026-05-24T14:54:00,2026-05-25T08:06:00
INV-0000007,EFSA-202506-000007,CLI-0006,2025-06-16,2025-07-16,2025-06,utilities-client-06.example.com,PO-SYN-000007,63105.41,10128.04,3254.26,2453.55,Issued,30,EFT,2026-05-24T14:53:00,2026-05-25T08:07:00
INV-0000008,EFSA-202604-000008,CLI-0018,2026-04-27,2026-05-27,2026-04,professional-services-client-18.example.com,PO-SYN-000008,31341.65,3246.21,2919.4,1323.57,Disputed,30,EFT,2026-05-24T14:52:00,2026-05-25T08:08:00
INV-0000009,EFSA-202505-000009,CLI-0013,2025-05-29,2025-06-28,2025-05,utilities-client-13.example.com,PO-SYN-000009,25736.45,615.41,1712.66,1371.02,Issued,30,BPAY,2026-05-25T14:59:00,2026-05-26T08:01:00
INV-0000010,EFSA-202604-000010,CLI-0006,2026-04-03,2026-05-03,2026-04,utilities-client-06.example.com,PO-SYN-000010,44108.06,8158.84,6894.28,1408.8,Paid,30,EFT,2026-05-25T14:58:00,2026-05-26T08:02:00
