lease_id,vehicle_id,client_id,lease_product,term_months,monthly_rental_amount,management_fee_amount,included_services,residual_value_amount,lease_status,effective_at,updated_at
LES-00001,VEH-00001,CLI-0009,Novated Lease,36,1538,130.29,management_only,14934.51,Active,2026-05-24T14:59:00,2026-05-25T08:01:00
LES-00002,VEH-00002,CLI-0005,Novated Lease,48,889,175.74,"maintenance,fuel,registration",8641.63,Renewal Review,2026-05-24T14:58:00,2026-05-25T08:02:00
LES-00003,VEH-00003,CLI-0013,Fleet Management Only,36,1147,150.49,management_only,13952.02,Renewal Review,2026-05-24T14:57:00,2026-05-25T08:03:00
LES-00004,VEH-00004,CLI-0011,Novated Lease,60,1242,147.46,"maintenance,fuel,registration",12016.81,Closed,2026-05-24T14:56:00,2026-05-25T08:04:00
LES-00005,VEH-00005,CLI-0010,Finance Lease,36,1264,167.66,"maintenance,accident,registration,billing",21030.46,Closed,2026-05-24T14:55:00,2026-05-25T08:05:00
LES-00006,VEH-00006,CLI-0011,Operating Lease,36,591,67.67,"maintenance,fuel,telematics,driver_app",7245.28,Active,2026-05-24T14:54:00,2026-05-25T08:06:00
LES-00007,VEH-00007,CLI-0016,Fleet Management Only,48,586,74.74,"maintenance,fuel,telematics,driver_app",7615.34,Renewal Review,2026-05-24T14:53:00,2026-05-25T08:07:00
LES-00008,VEH-00008,CLI-0018,Novated Lease,48,1695,70.70,"maintenance,fuel,telematics,driver_app",25164.05,Renewal Review,2026-05-24T14:52:00,2026-05-25T08:08:00
LES-00009,VEH-00009,CLI-0008,Finance Lease,48,752,41.61,management_only,12950.86,Renewal Review,2026-05-25T14:59:00,2026-05-26T08:01:00
LES-00010,VEH-00010,CLI-0003,Fleet Management Only,36,1056,102.51,"maintenance,fuel,telematics,driver_app",16099.59,Closed,2026-05-25T14:58:00,2026-05-26T08:02:00
LES-00011,VEH-00011,CLI-0016,Finance Lease,36,929,66.99,management_only,9804.58,Closed,2026-05-25T14:57:00,2026-05-26T08:03:00
LES-00012,VEH-00012,CLI-0002,Novated Lease,60,699,117.74,"maintenance,fuel,registration",9751.03,Renewal Review,2026-05-25T14:56:00,2026-05-26T08:04:00
LES-00013,VEH-00013,CLI-0015,Finance Lease,48,1134,76.12,"maintenance,accident,registration,billing",11444.63,Renewal Review,2026-05-25T14:55:00,2026-05-26T08:05:00
LES-00014,VEH-00014,CLI-0018,Fleet Management Only,36,804,96.42,"maintenance,fuel,telematics,driver_app",11244.9,Renewal Review,2026-05-25T14:54:00,2026-05-26T08:06:00
LES-00015,VEH-00015,CLI-0013,Finance Lease,60,1477,178.64,"maintenance,fuel,registration",14166.99,Closed,2026-05-25T14:53:00,2026-05-26T08:07:00
LES-00016,VEH-00016,CLI-0002,Fleet Management Only,48,1500,171.53,"maintenance,fuel,registration",15191.91,Renewal Review,2026-05-25T14:52:00,2026-05-26T08:08:00
LES-00017,VEH-00017,CLI-0017,Fleet Management Only,48,1835,53,"maintenance,fuel,telematics,driver_app",18634.45,Closed,2024-11-06T00:00:00,2025-01-22T00:00:00
LES-00018,VEH-00018,CLI-0008,Finance Lease,48,1830,81,"maintenance,fuel,registration",30163.01,Closed,2022-03-23T00:00:00,2022-06-09T00:00:00
LES-00019,VEH-00019,CLI-0009,Finance Lease,36,833,112,"maintenance,fuel,telematics,driver_app",14504.73,Active,2023-09-07T00:00:00,2023-11-25T00:00:00
LES-00020,VEH-00020,CLI-0018,Novated Lease,36,1228,167,"maintenance,fuel,telematics,driver_app",13221.53,Closed,2023-06-28T00:00:00,2023-09-16T00:00:00
LES-00021,VEH-00021,CLI-0018,Novated Lease,60,1082,67,"maintenance,fuel,registration",14632.06,Active,2024-12-19T00:00:00,2025-03-10T00:00:00
LES-00022,VEH-00022,CLI-0004,Finance Lease,60,1732,74,"maintenance,fuel,telematics,driver_app",28721.36,Closed,2023-07-12T00:00:00,2023-10-02T00:00:00
LES-00023,VEH-00023,CLI-0002,Operating Lease,36,604,42,"maintenance,fuel,telematics,driver_app",8975.54,Closed,2023-07-21T00:00:00,2023-10-12T00:00:00
LES-00024,VEH-00024,CLI-0014,Fleet Management Only,60,1373,42,"maintenance,fuel,telematics,driver_app",20289.05,Active,2022-08-18T00:00:00,2022-11-10T00:00:00
LES-00025,VEH-00025,CLI-0005,Fleet Management Only,48,1509,97,management_only,14572.05,Active,2024-01-17T00:00:00,2024-04-11T00:00:00
LES-00026,VEH-00026,CLI-0005,Fleet Management Only,48,843,147,management_only,9134.92,Closed,2022-12-29T00:00:00,2023-03-25T00:00:00
LES-00027,VEH-00027,CLI-0004,Novated Lease,60,814,115,"maintenance,fuel,telematics,driver_app",14471.59,Active,2024-08-21T00:00:00,2024-11-16T00:00:00
LES-00028,VEH-00028,CLI-0001,Operating Lease,48,1278,166,"maintenance,accident,registration,billing",16867.37,Active,2023-11-04T00:00:00,2024-01-31T00:00:00
LES-00029,VEH-00029,CLI-0018,Finance Lease,36,1440,98,"maintenance,fuel,registration",16721.15,Renewal Review,2022-02-26T00:00:00,2022-05-26T00:00:00
LES-00030,VEH-00030,CLI-0011,Finance Lease,36,1780,142,"maintenance,fuel,telematics,driver_app",30978.7,Active,2024-11-13T00:00:00,2025-02-11T00:00:00
LES-00031,VEH-00031,CLI-0017,Fleet Management Only,60,908,75,management_only,12247.86,Active,2024-01-16T00:00:00,2024-04-16T00:00:00
LES-00032,VEH-00032,CLI-0010,Operating Lease,48,1538,40,management_only,27222.88,Active,2024-04-04T00:00:00,2024-07-05T00:00:00
LES-00033,VEH-00033,CLI-0006,Operating Lease,36,1714,125,"maintenance,fuel,telematics,driver_app",23060.24,Renewal Review,2023-09-09T00:00:00,2023-12-11T00:00:00
LES-00034,VEH-00034,CLI-0011,Operating Lease,36,1105,172,management_only,11276.98,Active,2024-06-24T00:00:00,2024-09-26T00:00:00
LES-00035,VEH-00035,CLI-0011,Novated Lease,36,1269,138,management_only,12005.27,Closed,2023-09-28T00:00:00,2024-01-01T00:00:00
LES-00036,VEH-00036,CLI-0003,Novated Lease,36,918,127,management_only,12428.16,Closed,2023-02-03T00:00:00,2023-05-10T00:00:00
LES-00037,VEH-00037,CLI-0001,Finance Lease,36,1092,65,management_only,13495.79,Active,2023-03-25T00:00:00,2023-06-30T00:00:00
LES-00038,VEH-00038,CLI-0004,Finance Lease,36,1662,128,management_only,22438.17,Active,2024-08-09T00:00:00,2024-11-15T00:00:00
LES-00039,VEH-00039,CLI-0018,Novated Lease,48,599,70,management_only,6193.94,Closed,2024-08-30T00:00:00,2024-12-07T00:00:00
LES-00040,VEH-00040,CLI-0008,Novated Lease,36,806,118,management_only,14439.93,Active,2022-06-08T00:00:00,2022-09-16T00:00:00
LES-00041,VEH-00041,CLI-0005,Fleet Management Only,60,1735,121,"maintenance,fuel,telematics,driver_app",23030.45,Active,2022-11-09T00:00:00,2023-02-18T00:00:00
LES-00042,VEH-00042,CLI-0002,Operating Lease,48,1274,119,"maintenance,fuel,telematics,driver_app",20601.59,Active,2024-03-08T00:00:00,2024-06-18T00:00:00
LES-00043,VEH-00043,CLI-0013,Novated Lease,60,1742,156,"maintenance,accident,registration,billing",26988.11,Closed,2025-01-23T00:00:00,2025-05-06T00:00:00
LES-00044,VEH-00044,CLI-0013,Fleet Management Only,36,1503,78,"maintenance,accident,registration,billing",13954.05,Active,2024-04-08T00:00:00,2024-07-21T00:00:00
LES-00045,VEH-00045,CLI-0013,Fleet Management Only,48,910,39,management_only,9430.22,Active,2022-02-25T00:00:00,2022-04-26T00:00:00
LES-00046,VEH-00046,CLI-0013,Fleet Management Only,60,1360,163,"maintenance,fuel,registration",20878.69,Closed,2023-03-10T00:00:00,2023-05-10T00:00:00
LES-00047,VEH-00047,CLI-0003,Novated Lease,60,944,178,management_only,12960.45,Active,2025-01-09T00:00:00,2025-03-12T00:00:00
LES-00048,VEH-00048,CLI-0001,Novated Lease,60,874,152,"maintenance,fuel,telematics,driver_app",13182.38,Active,2022-11-09T00:00:00,2023-01-11T00:00:00
LES-00049,VEH-00049,CLI-0009,Finance Lease,36,1769,158,"maintenance,fuel,telematics,driver_app",24806.3,Active,2022-12-10T00:00:00,2023-02-12T00:00:00
LES-00050,VEH-00050,CLI-0001,Finance Lease,60,1129,108,management_only,13382.45,Active,2024-02-08T00:00:00,2024-04-13T00:00:00
LES-00051,VEH-00051,CLI-0010,Novated Lease,36,1667,105,management_only,28442.09,Renewal Review,2022-09-05T00:00:00,2022-11-10T00:00:00
LES-00052,VEH-00052,CLI-0014,Novated Lease,36,1226,72,"maintenance,fuel,telematics,driver_app",21574.93,Active,2024-06-06T00:00:00,2024-08-12T00:00:00
LES-00053,VEH-00053,CLI-0017,Novated Lease,60,1229,148,management_only,13427.91,Closed,2025-01-07T00:00:00,2025-03-16T00:00:00
LES-00054,VEH-00054,CLI-0015,Novated Lease,36,1075,178,"maintenance,fuel,registration",15631.68,Closed,2024-02-16T00:00:00,2024-04-25T00:00:00
